team,matches,goals_scored,goals_conceded,assists,distance_km_per_match,sprints_per_match,goals_per_match,penalty_goals_scored,penalty_goals_attempted,freekick_goals_scored,freekick_goals_attempted,goals_inside_box,shots_inside_box,goals_outside_box,shots_outside_box,left_foot_goals,right_foot_goals,headed_goals,big_chances_per_match,big_chances_missed_per_match,shots_per_match,shots_on_target_per_match,shots_off_target_per_match,blocked_shots_per_match,succ_dribbles_per_match,corners_per_match,freekicks_per_match,hit_woodwork,counter_attacks,possession_pct,accurate_passes_count,accurate_passes_pct,acc_own_half_count,acc_own_half_pct,acc_opp_half_count,acc_opp_half_pct,acc_long_balls_count,acc_long_balls_pct,acc_crosses_count,acc_crosses_pct,clean_sheets,goals_conceded_per_match,tackles_per_match,interceptions_per_match,clearances_per_match,saves_per_match,balls_recovered_per_match,errors_leading_to_shot,errors_leading_to_goal,penalties_committed,penalty_goals_conceded,clearance_off_line,last_man_tackle,duels_won_count,duels_won_pct,ground_duels_won_count,ground_duels_won_pct,aerial_duels_won_count,aerial_duels_won_pct,possession_lost_per_match,throwins_per_match,goal_kicks_per_match,offsides_per_match,fouls_per_match,yellow_cards_per_match,red_cards
Spain,8.0,14.0,1.0,10.0,103.5,98.6,1.8,1.0,1.0,0.0,6.0,13.0,81.0,0.0,59.0,7.0,5.0,1.0,3.0,1.5,17.5,6.8,6.8,4.0,7.4,6.8,11.1,4.0,7.0,63.9,598.0,89.7,251.0,93.6,346.0,87.2,17.3,60.3,4.0,19.5,7.0,0.1,15.9,7.9,16.9,1.3,51.8,3.0,0.0,0.0,0.0,0.0,3.0,46.3,51.4,33.9,48.7,12.4,60.7,123.8,16.6,5.5,2.6,12.6,0.8,0.0
France,8.0,20.0,10.0,18.0,97.9,107.5,2.5,1.0,2.0,0.0,1.0,16.0,78.0,4.0,61.0,6.0,13.0,1.0,4.1,2.6,17.4,7.4,6.5,3.5,9.6,6.4,9.1,5.0,20.0,55.8,469.0,88.1,185.0,92.8,284.0,85.3,16.5,57.9,2.4,17.4,4.0,1.3,14.5,8.5,16.6,1.6,49.0,7.0,0.0,3.0,2.0,1.0,2.0,44.6,49.7,32.9,46.5,11.8,61.4,112.8,13.6,6.4,1.8,10.5,0.8,0.0
Argentina,8.0,19.0,8.0,12.0,87.7,73.9,2.4,1.0,3.0,2.0,11.0,13.0,66.0,5.0,48.0,9.0,5.0,4.0,2.8,1.9,14.3,5.5,5.5,3.3,8.3,5.1,12.5,6.0,12.0,57.6,570.0,89.3,266.0,93.5,305.0,85.9,14.4,56.9,4.1,31.4,2.0,1.0,19.9,10.0,23.1,2.5,45.0,6.0,0.0,0.0,0.0,0.0,1.0,50.3,51.3,40.3,51.8,10.0,49.4,110.5,17.4,6.4,2.8,14.1,1.8,1.0
England,8.0,20.0,12.0,14.0,103.3,111.4,2.5,3.0,3.0,0.0,5.0,19.0,89.0,1.0,29.0,5.0,10.0,5.0,4.1,2.4,14.8,6.6,4.6,3.5,10.8,5.0,14.5,2.0,15.0,54.1,432.0,88.6,206.0,94.6,226.0,83.8,13.1,55.6,5.4,26.2,2.0,1.5,15.9,6.3,23.5,2.5,40.3,6.0,2.0,1.0,1.0,0.0,6.0,53.6,54.7,40.9,54.8,12.8,54.5,106.9,16.3,7.0,1.9,10.1,1.0,1.0
